0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21
217906;205646;201820;187834;180234;148690;137120;100826;75882;35664;7150;31622;80396;93404;146304;159422;187418;189952;206012;207856;212898;1
228682;224754;208990;201094;165944;154392;109902;82914;37558;10528;30548;80728;94878;149584;165130;195138;197484;214804;216646;221672;222502;0
257396;244554;239624;217916;207282;169766;157898;112378;84026;38384;9136;31714;83502;98852;153972;170426;202218;204716;222202;224044;229096;0
264760;263078;248482;242798;223438;212630;176316;164026;115018;87262;38584;-7266;36574;92574;108014;162818;178102;215850;218724;235816;237698;1
270840;256108;250318;230260;219318;181678;169204;118930;90536;39446;5642;38776;97434;112656;165712;181066;220610;223070;240160;242430;247676;0
278552;263730;257680;236202;224858;187454;174254;124268;95104;42588;-8374;40392;103450;120906;174472;190030;230700;233974;251474;253744;259300;1
285122;270260;264032;242784;231158;191644;178274;126098;97658;42640;-5230;45440;108302;127560;184428;199648;245080;248446;265912;268192;273750;1
287800;272884;266628;245322;232660;192662;179388;126194;96060;41132;4510;45770;108962;127942;185330;200364;245234;248776;266272;268544;274106;1
285052;263386;250744;207374;193910;140532;107896;52942;14516;-42652;106718;123852;177730;193604;239580;244400;261908;264376;269938;270768;273850;0
295336;288956;267406;254692;210610;197330;145344;114714;58494;19776;-36724;101946;120636;175726;192378;239470;244198;261810;264278;269850;270680;0
